"";"ResponseId";"age";"genre";"CERQ_ACC";"CERQ_RUM";"CERQ_REA";"CERQ_CUL";"CERQ_REC";"CERQ_DRA";"CERQ_BLA";"CERQ_PLA";"CERQ_PERS";"CERQ_MAL";"CERQ_ADA";"AI_UPE";"AI_EPPR";"AI_RHSC";"AI_BFC";"AI_total";"BE_APP";"BE_ATT";"BE_Poids";"BE_total";"EE";"Interna";"QSREIC_dramatisation";"QSREIC_planif";"QSREIC_recentrage";"QSREIC_social";"QSREIC_culpa";"QSREIC_refus";"QSREIC_rumination";"QSREIC_physique";"QSREIC_évitement";"QSREIC_ADA";"QSREIC_MAL"
"374";"R_3MLv7sKyv6qtiiK";31;2;2;2;3;2;8;2;4;4;3;10;20;29;39;28;14;110;39;16;29;84;9;9;10;10;10;19;6;16;1;3;4;55;24
"375";"R_3MoNPEbMYBCTxGE";29;1;8;7;8;7;4;3;2;7;6;19;33;19;16;6;12;53;30;10;17;57;4;9;10;7;10;20;5;8;2;6;3;45;26
"376";"R_3MQjmUI6LRZwSgI";18;2;5;6;6;4;4;5;2;6;4;17;25;27;21;14;6;68;27;19;25;71;5;26;8;6;8;15;6;8;1;7;6;37;28
"377";"R_3MzIySMCZcdoeCg";33;1;8;8;7;7;8;7;3;7;8;25;38;19;32;18;7;76;29;12;18;59;8;19;11;12;10;13;7;12;3;5;8;47;34
"378";"R_3n5UKeMKHZftaHq";46;1;4;5;4;3;4;2;4;5;7;14;24;21;22;12;9;64;24;19;20;63;5;31;8;6;7;13;8;8;2;6;4;34;28
"379";"R_3n9q8r0S6byTQv6";37;1;6;6;6;4;4;4;2;4;6;16;26;23;28;22;9;82;24;14;21;59;9;28;6;8;10;15;5;10;2;3;10;43;26
"380";"R_3NFp7UMqtU8Ifpu";21;2;3;9;4;10;2;9;5;8;2;33;19;18;17;14;11;60;19;22;14;55;6;45;6;9;5;9;8;5;5;10;4;28;33
"381";"R_3njFtpowJ9NXESL";34;2;5;4;8;4;8;3;2;9;7;13;37;19;32;22;14;87;30;14;20;64;9;16;10;11;12;17;6;9;3;4;6;49;29
"382";"R_3NLrtB8aq5c4Ymw";32;1;5;3;5;3;4;2;3;5;5;11;24;29;29;23;10;91;36;13;27;76;7;15;6;8;8;17;5;9;2;5;4;42;22
"383";"R_3nPGtYSZMdOnejB";32;2;8;8;9;4;3;3;3;8;7;18;35;23;30;26;14;93;28;15;16;59;9;22;14;11;12;18;7;16;4;7;8;57;40
"384";"R_3O8HyljvUMrixs5";10;2;7;5;7;6;4;2;2;7;7;15;32;22;31;25;13;91;31;16;22;69;11;32;10;11;9;17;7;10;2;4;6;47;29
"385";"R_3O9zM06CouQw25L";45;2;8;4;6;4;7;3;2;7;7;13;35;23;32;24;12;91;41;12;34;87;12;9;8;7;8;19;4;10;1;2;3;44;18
"386";"R_3Oizs9AdGyJkruY";3;2;7;4;10;4;5;2;4;5;10;14;37;20;16;18;6;60;30;21;20;71;4;44;10;12;9;8;9;12;3;10;6;41;38
"387";"R_3OrnAzMpnn0dKO0";18;2;7;4;8;6;4;5;2;4;4;17;27;22;18;22;12;74;20;13;13;46;7;28;13;6;6;12;9;5;1;6;10;29;39
"388";"R_3oShyin13BG5NGD";29;1;5;4;7;4;6;3;3;7;6;14;31;18;21;18;11;68;35;18;29;82;3;24;7;11;13;20;3;14;1;2;5;58;18
"389";"R_3oTUoTGvd5P5mLM";57;1;4;5;6;3;4;2;2;7;8;12;29;25;22;17;8;72;28;16;27;71;4;13;11;14;13;13;5;16;4;5;10;56;35
"390";"R_3oYLwMSuwzthxmR";1;2;8;6;7;5;4;4;4;6;6;19;31;15;37;16;15;83;46;15;32;93;12;15;6;11;10;19;2;17;1;2;6;57;17
"391";"R_3OyxXq9sazQhAxb";15;2;6;6;6;6;6;4;4;6;6;20;30;22;22;18;12;74;36;17;28;81;6;27;10;9;9;18;4;10;2;3;6;46;25
"392";"R_3PAgB7vU8xAodRU";21;2;5;7;9;4;8;3;3;6;6;17;34;21;26;15;12;74;36;19;30;85;8;28;5;12;10;17;5;12;2;3;4;51;19
"393";"R_3PbO6S5Krtf3koa";43;1;4;7;4;9;4;7;3;5;7;26;24;25;19;14;8;66;35;17;23;75;4;27;8;16;11;19;7;15;2;4;6;61;27
"394";"R_3pbTmDKTlUz1735";3;2;8;9;10;9;6;6;5;8;7;29;39;30;20;26;13;89;32;13;29;74;4;17;13;14;10;14;6;13;3;5;7;51;34
"395";"R_3pbyYyoR8tXuTnJ";13;1;3;4;6;8;2;5;4;10;3;21;24;11;23;22;12;68;16;18;22;56;8;36;11;8;4;8;7;5;1;8;5;25;32
"396";"R_3PC8IzxpoLA5gKj";42;1;7;3;5;4;5;2;4;4;7;13;28;27;34;24;11;96;39;14;26;79;12;9;5;11;9;18;5;16;1;3;3;54;17
"397";"R_3Pk0KAbEqXt9uPE";30;1;4;6;7;4;8;4;2;8;5;16;32;23;31;23;11;88;29;13;23;65;9;24;9;8;10;17;6;8;2;5;5;43;27
"398";"R_3PMjodoJKjmO4In";19;2;4;10;8;7;6;10;3;6;2;30;26;10;12;16;12;50;19;20;13;52;3;42;7;15;6;12;3;8;2;10;7;41;29
"399";"R_3ptZXH60b8nF2qE";45;1;8;3;6;7;2;2;2;4;4;14;24;22;32;21;12;87;42;14;34;90;9;45;5;5;11;19;6;11;1;3;4;46;19
"400";"R_3Q0l2K4HzE8qJ3z";43;2;4;4;6;3;3;3;3;4;4;13;21;23;17;18;7;65;32;14;15;61;6;10;7;8;7;17;7;10;3;4;6;42;27
"401";"R_3Q8UdS6QPyPwVsl";19;2;6;5;7;6;5;5;4;7;5;20;30;25;23;24;12;84;44;12;37;93;7;15;17;12;12;20;6;16;3;4;6;60;36
"402";"R_3q9cDBzCVShme2v";28;2;5;3;6;6;3;3;4;7;8;16;29;25;23;14;15;77;32;14;19;65;7;23;14;8;12;16;4;18;2;3;8;54;31
"403";"R_3qDRQkuYHj8kfWH";25;3;4;4;8;4;5;4;4;10;6;16;33;28;32;27;13;100;47;18;24;89;11;9;4;4;11;20;6;20;1;3;4;55;18
"404";"R_3QG0Iq3RiEcklND";8;2;8;7;9;4;4;4;4;8;6;19;35;28;30;21;12;91;45;19;39;103;9;9;8;15;11;17;3;15;2;2;4;58;19
"405";"R_3qHHtBVNvcgoHZM";22;2;6;6;4;3;4;3;4;6;6;16;26;22;35;22;11;90;34;11;26;71;10;13;6;11;9;17;4;15;1;4;4;52;19
"406";"R_3qmoyfHJ7OE47ic";18;2;5;8;4;5;4;8;4;4;4;25;21;23;30;21;12;86;29;14;24;67;10;32;7;9;9;15;6;6;2;6;6;39;27
"407";"R_3qmtjJcAqfwGMrS";32;1;4;3;4;2;3;2;2;5;4;9;20;24;22;24;12;82;22;14;16;52;6;22;7;7;9;18;6;9;1;3;7;43;24
"408";"R_3QVoXQDQQ6znYOo";30;2;5;9;7;4;3;5;4;6;4;22;25;13;12;21;13;59;26;13;16;55;6;10;8;9;6;13;4;9;2;5;6;37;25
"409";"R_3R3MFIp97bFxne3";28;1;5;4;6;2;2;2;4;5;5;12;23;27;33;16;9;85;30;15;25;70;9;29;6;9;7;16;4;10;1;5;3;42;19
"410";"R_3R9JrON4EnEo9oF";64;2;7;8;3;7;2;8;4;6;4;27;22;17;25;25;15;82;31;10;32;73;8;27;7;6;6;18;5;10;2;4;7;40;25
"411";"R_3Rf1iFO3vXCe4m7";47;2;6;8;4;5;8;6;6;7;5;25;30;14;29;24;15;82;16;18;9;43;7;29;18;9;7;9;5;7;4;4;14;32;45
