"";"Duration__in_seconds_";"Finished";"RecordedDate";"ResponseId";"Q6___R_gulation_cogn_1";"Q6___R_gulation_cogn_2";"Q6___R_gulation_cogn_3";"Q6___R_gulation_cogn_4";"Q6___R_gulation_cogn_5";"Q6___R_gulation_cogn_6";"Q6___R_gulation_cogn_7";"Q6___R_gulation_cogn_8";"Q6___R_gulation_cogn_9";"Q6___R_gulation_cogn_10";"Q6___R_gulation_cogn_11";"Q6___R_gulation_cogn_12";"Q6___R_gulation_cogn_13";"Q6___R_gulation_cogn_14";"Q6___R_gulation_cogn_15";"Q6___R_gulation_cogn_16";"Q6___R_gulation_cogn_17";"Q6___R_gulation_cogn_18";"Q7___Alim_intuitive_1";"Q7___Alim_intuitive_2";"Q7___Alim_intuitive_3";"Q7___Alim_intuitive_4";"Q7___Alim_intuitive_5";"Q7___Alim_intuitive_6";"Q7___Alim_intuitive_7";"Q7___Alim_intuitive_8";"Q7___Alim_intuitive_9";"Q7___Alim_intuitive_10";"Q7___Alim_intuitive_11";"Q7___Alim_intuitive_12";"Q7___Alim_intuitive_13";"Q7___Alim_intuitive_14";"Q7___Alim_intuitive_15";"Q7___Alim_intuitive_16";"Q7___Alim_intuitive_17";"Q7___Alim_intuitive_18";"Q7___Alim_intuitive_19";"Q7___Alim_intuitive_20";"Q7___Alim_intuitive_21";"Q7___Alim_intuitive_22";"Q7___Alim_intuitive_23";"Q9___Alim__motionnel";"Q10___Alim__motionne";"Q11___Alim__motionne";"Q12___Estime_corpore_1";"Q12___Estime_corpore_2";"Q12___Estime_corpore_3";"Q12___Estime_corpore_4";"Q12___Estime_corpore_5";"Q12___Estime_corpore_6";"Q12___Estime_corpore_7";"Q12___Estime_corpore_8";"Q12___Estime_corpore_9";"Q12___Estime_corpore_10";"Q12___Estime_corpore_11";"Q12___Estime_corpore_12";"Q12___Estime_corpore_13";"Q12___Estime_corpore_14";"Q12___Estime_corpore_15";"Q12___Estime_corpore_16";"Q12___Estime_corpore_17";"Q12___Estime_corpore_18";"Q12___Estime_corpore_19";"Q12___Estime_corpore_20";"Q12___Estime_corpore_21";"Q12___Estime_corpore_22";"Q12___Estime_corpore_23";"Q13___Internalisatio_1";"Q13___Internalisatio_2";"Q13___Internalisatio_3";"Q13___Internalisatio_4";"Q13___Internalisatio_5";"Q13___Internalisatio_6";"Q13___Internalisatio_7";"Q13___Internalisatio_8";"Q13___Internalisatio_9";"Q14___QSREIC_1";"Q14___QSREIC_2";"Q14___QSREIC_3";"Q14___QSREIC_4";"Q14___QSREIC_5";"Q14___QSREIC_6";"Q14___QSREIC_7";"Q14___QSREIC_8";"Q14___QSREIC_9";"Q14___QSREIC_10";"Q14___QSREIC_11";"Q14___QSREIC_12";"Q14___QSREIC_13";"Q14___QSREIC_14";"Q14___QSREIC_15";"Q14___QSREIC_16";"Q14___QSREIC_17";"Q14___QSREIC_18";"Q14___QSREIC_19";"Q14___QSREIC_20";"Q14___QSREIC_21";"Q14___QSREIC_22";"Q14___QSREIC_23";"Q14___QSREIC_24";"Q14___QSREIC_25";"Q14___QSREIC_26";"Q14___QSREIC_27"
"35";4917;1;2022-02-09 19:54:25;"R_a90dHDx0wfMB7KV";2;4;2;3;3;4;2;2;2;1;2;3;2;2;3;3;2;1;3;3;4;4;2;2;3;2;3;2;2;4;4;4;4;4;3;4;4;4;2;2;2;3;3;4;3;3;2;5;2;2;4;2;3;2;2;3;4;4;2;2;3;4;4;2;4;3;3;1;1;1;1;1;1;1;1;1;2;2;2;1;4;5;2;2;1;2;2;2;1;2;2;1;1;2;1;2;3;2;4;2;1;4;1
"36";1204;1;2022-02-09 21:20:14;"R_2ydBQViXg4LDczz";4;4;4;2;4;3;4;4;2;2;4;3;3;2;2;4;1;2;2;1;4;3;1;4;4;4;2;1;1;5;5;5;5;4;5;5;4;3;4;4;4;4;4;4;3;4;3;3;2;4;2;3;2;3;2;4;2;4;4;4;2;1;1;3;3;4;4;2;3;3;2;3;2;2;2;1;1;2;3;1;2;3;4;5;3;2;3;4;2;1;1;3;2;4;2;4;3;1;2;2;2;2;1
"37";952;1;2022-02-10 03:02:44;"R_1OUdIamva6nAeQl";4;4;4;2;4;3;3;5;1;2;3;4;3;3;4;5;1;2;5;4;4;3;4;3;3;3;2;3;4;3;2;2;4;4;2;4;4;4;2;2;3;2;2;2;3;4;2;4;3;3;4;2;5;1;3;4;4;3;3;1;2;3;2;1;3;2;1;4;4;4;4;4;3;4;3;4;3;3;3;1;3;4;4;5;1;3;3;5;1;1;2;1;2;4;3;1;5;3;4;5;3;2;2
"38";981;1;2022-02-10 04:50:45;"R_eVFPCm9eW30XqA9";3;3;3;2;3;3;3;3;2;1;4;3;2;2;2;4;2;2;3;5;5;2;5;3;4;4;1;4;5;2;2;2;2;5;5;5;4;4;4;4;4;2;3;2;4;4;4;3;1;4;4;5;3;4;1;4;3;4;4;5;2;2;1;1;3;4;3;3;2;4;2;3;4;1;3;1;1;1;3;1;2;4;4;5;5;2;1;4;2;3;3;4;4;3;1;2;5;1;2;5;2;1;1
"39";1220;1;2022-02-10 05:36:51;"R_3g1IowiUsJbpWB5";4;4;4;3;4;2;4;5;1;2;4;2;4;2;2;5;1;2;1;2;5;1;1;4;2;3;1;2;2;4;5;5;5;4;4;3;4;4;4;3;4;4;4;4;4;4;3;3;1;4;3;2;1;2;1;4;2;4;4;2;1;1;2;4;2;3;3;1;1;1;1;1;1;1;1;1;4;4;3;1;1;3;4;5;3;4;3;3;1;2;2;2;4;4;1;1;4;2;2;4;2;1;1
"40";3442;1;2022-02-10 07:07:55;"R_Ut1z9rkPgdxCwOl";4;2;4;4;4;4;2;3;3;1;4;2;4;3;4;4;2;1;4;2;4;2;2;4;3;2;2;2;2;4;3;4;4;2;4;4;4;4;4;2;2;3;3;3;2;3;3;4;4;3;2;3;3;4;3;4;3;4;4;4;2;2;2;3;4;4;3;4;4;3;4;3;4;3;4;3;2;2;3;2;4;5;5;5;3;3;1;4;1;3;1;3;4;3;4;1;3;2;2;3;3;3;1
"41";577;1;2022-02-10 08:05:32;"R_31Xmn28EMg8NZWi";4;5;4;4;4;5;2;2;4;2;2;4;4;4;3;4;3;2;3;1;5;2;1;4;4;4;1;1;1;1;5;5;5;5;5;3;3;4;5;5;5;4;4;4;2;4;3;3;3;3;4;4;4;3;3;4;3;3;3;5;2;2;2;4;3;3;2;4;3;1;3;4;1;1;1;3;4;2;1;1;4;4;4;5;5;3;1;2;2;4;3;3;4;5;1;1;5;2;3;4;4;2;1
"42";785;1;2022-02-10 08:26:01;"R_3HoeCfng1x8E0oZ";2;3;4;2;5;5;1;4;1;1;4;3;2;2;2;5;2;2;4;1;4;1;1;3;2;2;2;1;1;3;5;5;4;3;1;4;4;4;5;4;4;4;4;4;3;2;3;2;2;4;1;4;1;3;1;3;1;3;3;3;1;1;1;1;3;4;3;3;1;1;1;1;1;1;1;1;2;4;4;1;1;5;5;5;4;5;1;1;1;1;2;4;4;5;1;1;1;1;1;4;3;2;1
"43";1373;1;2022-02-10 12:12:53;"R_3L7FZ16z6BvZscF";5;2;3;2;3;1;1;2;1;1;2;2;2;2;3;2;2;2;1;3;5;1;1;3;3;3;3;3;1;5;5;5;5;5;5;3;3;3;3;3;3;4;4;3;1;3;2;1;1;5;3;3;2;3;1;2;1;4;3;1;1;1;1;1;1;2;3;3;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;4;1;1;2;2;1;2;4;2;3;4;1;1;4;3;2;5;1;1;1
"44";751;1;2022-02-10 13:04:16;"R_3CTyQHw7q3ATLZ5";5;2;5;4;4;4;3;5;2;2;3;5;4;3;3;4;2;2;4;2;3;3;2;4;4;3;2;1;1;5;5;5;5;2;5;4;3;3;4;4;4;3;4;3;4;4;4;3;1;4;2;3;3;3;3;5;2;4;4;4;3;2;3;2;4;4;3;4;4;5;4;4;4;4;4;3;2;1;2;1;2;5;4;5;2;3;1;5;1;1;3;3;4;2;3;1;4;1;2;3;1;2;1
"45";996;1;2022-02-10 14:25:15;"R_uvTCKlfC71DUNXj";5;1;4;1;4;1;5;5;1;1;4;1;4;1;3;5;1;1;5;1;3;2;2;2;2;2;4;1;1;4;2;5;4;2;1;4;4;4;2;4;3;3;3;3;4;4;4;2;1;4;2;4;2;4;1;4;1;5;4;5;1;2;1;4;2;4;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;1;1;1;1;1;5;5;5;1;1;5;1;1;5;1;1;1
"46";1008;1;2022-02-10 15:55:25;"R_1C2ApEFyQsm7VUD";2;4;4;2;4;3;2;2;1;3;2;3;4;2;1;4;2;3;1;1;5;2;1;5;1;5;1;1;1;5;5;5;5;5;5;3;4;4;4;4;5;4;4;4;4;4;4;3;1;4;3;2;3;1;3;4;3;3;3;1;3;2;2;1;3;4;3;2;1;1;1;1;1;1;1;1;1;2;1;1;1;4;2;5;3;5;1;2;1;1;5;3;4;4;1;1;4;1;1;1;1;1;1
"47";652;1;2022-02-10 16:06:09;"R_yrUq5gXa8gRLQ3f";3;4;4;3;4;4;2;2;4;3;2;2;2;4;2;2;3;2;2;5;4;4;5;2;4;4;4;5;5;2;2;2;4;4;4;2;2;2;4;4;4;2;1;1;2;2;3;5;2;3;4;1;5;1;3;1;5;2;3;3;4;5;5;1;5;3;1;4;4;2;4;3;2;1;1;2;2;2;2;3;3;4;2;2;4;2;1;4;4;3;3;2;2;2;1;2;4;2;5;3;2;2;3
"48";569;1;2022-02-10 18:45:14;"R_10MX6arOK00auSR";5;3;5;4;3;5;2;3;1;4;2;5;4;2;4;2;1;3;4;4;5;4;5;1;1;1;1;4;5;2;1;1;2;4;5;5;3;4;1;1;1;2;2;1;1;3;2;5;2;2;4;1;2;1;1;3;5;3;2;1;4;5;5;1;4;3;2;2;1;1;1;1;1;1;1;1;2;2;2;1;1;3;2;3;4;2;1;3;5;4;4;1;2;5;1;2;5;4;4;4;3;1;1
"49";1060;1;2022-02-10 19:32:50;"R_x9m6ft2u4Z96lqh";3;1;2;5;4;2;1;1;2;2;2;3;2;5;2;1;2;2;3;5;5;3;5;1;1;1;1;5;5;1;3;1;4;5;5;3;3;3;1;1;1;2;1;1;1;2;1;5;5;1;5;1;5;1;5;2;5;1;1;1;5;5;5;2;5;1;1;5;5;5;5;5;5;5;5;3;5;2;1;5;5;5;2;1;1;1;1;1;5;5;4;1;4;2;5;2;1;2;5;1;5;1;4
"50";8451;1;2022-02-10 20:42:45;"R_1lmG720lmi19Lgv";3;3;3;2;3;3;3;4;2;2;3;4;2;2;5;3;2;2;4;2;4;2;2;3;3;3;2;3;2;4;4;3;5;3;1;4;4;4;3;3;3;3;3;3;3;3;3;4;2;3;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2;1;5;5;1;3;4;4;4;3;3;3;2;1;1;1;3;3;4;1;1;4;1;2;2;2;2;1
"51";896;1;2022-02-11 04:50:27;"R_78SQdyPPI9nKhnX";1;2;2;2;2;2;3;1;1;1;3;3;3;3;3;4;1;1;4;4;4;2;4;2;3;4;2;4;4;2;3;3;4;4;5;4;4;4;3;3;3;2;2;2;2;3;2;4;1;3;3;2;4;2;1;3;3;3;3;3;2;3;3;1;2;3;3;2;2;2;2;2;2;2;2;2;4;4;4;2;1;5;3;5;4;3;4;5;1;2;3;2;2;4;1;2;5;4;2;5;5;1;2
"52";2557;1;2022-02-11 05:28:12;"R_1eKLLCHxVUwfLTv";3;2;3;2;3;2;2;4;1;1;3;2;1;1;3;1;1;1;5;4;4;4;4;2;2;2;4;2;2;4;2;2;2;2;1;2;4;4;1;2;2;2;2;2;2;2;1;5;1;2;5;1;5;1;4;2;5;2;1;1;5;5;5;1;5;1;1;4;1;1;1;1;1;1;1;1;2;2;2;5;4;5;4;1;5;2;1;1;5;2;4;1;5;3;3;3;5;2;5;5;2;1;5
"53";474;1;2022-02-11 08:09:20;"R_3MoNPEbMYBCTxGE";4;4;4;4;4;3;2;4;2;1;2;3;2;3;4;4;1;1;4;5;4;4;4;1;1;1;2;4;5;2;2;2;4;4;3;4;4;4;1;1;1;2;1;1;3;3;2;5;1;3;4;1;2;1;1;3;3;2;2;1;1;1;2;1;5;2;2;1;1;1;1;1;1;1;1;1;2;2;2;4;1;3;3;5;5;5;2;2;2;1;1;1;2;5;1;1;1;2;2;1;1;1;1
"54";834;1;2022-02-11 12:16:47;"R_qD9FWmfNLkMPaFP";4;4;5;4;4;5;2;3;1;1;1;3;2;2;3;2;1;1;4;4;4;4;4;4;4;3;2;3;3;4;2;2;4;4;5;3;3;4;4;3;4;2;3;3;3;3;2;4;3;3;3;3;4;2;3;2;2;3;3;2;3;3;3;2;3;3;2;2;2;2;1;2;2;1;2;2;2;4;1;1;2;3;4;3;1;2;1;2;1;1;4;2;2;3;1;3;3;4;3;4;3;3;4
"55";645;1;2022-02-11 12:33:37;"R_pcUvIZnDnj6u0h3";2;4;2;2;2;5;2;2;4;1;2;2;2;2;2;3;2;1;5;4;2;5;4;3;3;3;5;5;4;3;3;3;3;3;1;4;5;5;4;4;3;1;1;1;2;4;2;5;2;3;4;3;4;3;1;4;5;3;3;3;4;4;4;4;5;3;3;3;2;2;2;2;2;2;1;1;4;3;2;3;3;2;2;5;3;4;1;2;2;2;1;2;2;1;1;2;2;2;3;2;2;1;2
"56";2253;1;2022-02-11 12:57:07;"R_30q1q2ebZ78vRdI";5;2;5;4;5;2;4;5;1;1;4;4;5;2;4;5;1;1;4;2;5;1;3;4;5;2;1;3;2;4;4;4;4;2;2;5;4;4;4;2;2;4;3;2;4;4;2;2;1;4;3;4;1;2;1;4;1;5;4;4;1;1;1;1;2;4;4;1;1;1;1;1;1;1;1;1;1;1;3;1;1;4;3;5;1;5;3;2;2;4;4;4;4;5;1;1;1;1;2;5;1;1;2
"57";1103;1;2022-02-11 16:42:14;"R_vSGLl8G03vhqxEt";5;3;5;2;4;2;2;5;2;2;2;5;3;2;5;2;2;2;5;2;5;2;1;5;5;5;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;3;3;4;3;3;3;2;4;3;4;4;5;4;4;3;4;3;3;5;3;1;1;3;5;3;2;4;4;4;5;4;4;4;5;3;2;4;2;4;4;4;5;3;3;2;1;2;2;2;1;2;2;4;4;2;3;3;4;2;4;4;3
"58";572;1;2022-02-11 20:03:47;"R_23gChvehX0dr79J";4;4;4;3;4;4;3;4;2;1;3;3;3;2;4;4;2;1;4;4;4;4;4;4;3;4;3;2;4;5;4;2;4;4;4;4;4;4;3;3;4;2;3;2;3;4;4;3;3;4;4;4;4;3;2;4;3;4;4;4;1;3;2;4;4;4;3;3;2;2;2;3;2;3;2;1;4;2;3;2;3;4;4;5;3;3;4;4;1;2;2;4;4;4;2;3;4;4;3;2;4;4;2
"59";761;1;2022-02-12 08:00:11;"R_3I6o5wueROFx8GJ";4;3;4;2;4;2;3;2;1;1;2;2;3;1;2;2;1;1;2;1;5;1;1;5;4;4;1;1;1;5;1;1;4;5;5;4;4;4;5;5;5;4;4;4;3;3;4;1;1;3;2;4;3;4;1;4;1;4;4;5;1;1;1;1;1;4;4;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;4;5;1;5;4;1;1;1;4;5;5;4;1;1;5;1;2;5;1;1;1
"60";642;1;2022-02-13 11:51:09;"R_1d0iWAwM1cYCo86";5;5;5;4;5;4;3;1;1;1;4;3;3;3;4;4;1;1;1;5;5;1;2;5;5;5;5;5;5;2;3;5;2;5;5;5;5;5;5;5;5;1;1;3;2;4;2;3;1;3;4;2;3;1;1;3;2;5;4;3;1;1;2;1;2;4;5;1;1;1;1;1;1;1;1;1;3;3;3;1;4;3;3;5;2;3;3;3;1;3;3;3;3;4;1;3;3;3;4;4;4;3;1
"61";667;1;2022-02-14 05:23:58;"R_1NqVioq4Gtyi76y";4;3;4;2;4;3;2;4;1;2;2;4;3;2;4;4;1;2;4;2;4;2;1;4;2;2;3;1;1;5;4;4;4;4;3;3;4;4;4;3;3;3;2;4;4;4;4;2;1;4;3;4;1;3;1;4;2;4;4;4;1;2;2;4;2;4;4;1;1;1;1;1;1;1;1;1;1;4;4;1;1;4;4;5;1;4;1;5;1;2;2;3;1;2;1;1;4;1;2;4;2;1;1
"62";671;1;2022-02-14 13:30:30;"R_NXfb0hAwfuhvQHv";5;4;5;2;4;1;4;5;2;1;4;4;4;1;5;5;1;1;2;4;5;1;1;5;5;5;1;1;5;5;4;5;4;5;5;5;5;5;3;5;5;3;4;4;4;5;4;2;4;4;2;4;2;4;1;5;1;4;4;5;1;1;1;4;3;4;4;2;4;2;4;2;4;2;4;2;5;5;3;1;4;5;5;5;4;4;3;3;1;1;4;4;1;5;1;1;5;4;1;5;5;2;1
"63";1175;1;2022-02-14 13:33:07;"R_AodUux5dcJ2C6TT";3;3;4;2;3;1;2;4;1;1;4;3;4;2;2;4;1;1;4;2;4;2;2;4;2;4;2;2;1;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;5;4;3;4;1;3;4;2;2;2;2;3;2;3;4;2;2;1;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;2;3;3;2;1;2;1;1;2;2;2;1;4;1;1;2;1;2;2;1;1;1
"64";1589;1;2022-02-14 13:40:00;"R_1psW6HsO7Ub5HXm";5;5;5;4;5;5;2;4;2;1;2;5;5;2;4;5;1;2;5;1;4;2;1;4;1;4;2;1;1;4;2;2;4;4;2;3;3;3;4;2;3;4;4;4;2;4;4;4;4;3;3;4;3;4;2;4;2;4;4;4;2;3;2;1;4;4;3;2;2;2;2;2;2;2;4;2;2;5;2;1;4;4;4;4;4;5;1;4;1;1;1;3;2;4;1;3;5;5;2;4;5;5;1
"65";1306;1;2022-02-14 13:50:28;"R_ysQPYglNuPSEga5";3;2;3;2;2;1;2;3;1;1;2;3;2;1;3;2;1;1;4;1;5;1;1;5;5;5;1;2;2;4;4;4;4;5;3;3;4;2;5;4;4;3;3;3;3;3;4;2;1;4;2;4;2;4;1;3;2;3;3;4;1;1;1;3;1;3;3;1;1;1;1;1;1;1;1;1;1;3;3;1;1;2;2;4;2;3;2;2;1;1;2;3;1;4;1;1;3;1;1;2;1;1;1
"66";487;1;2022-02-14 13:53:07;"R_5ApCHb3je2bmYjD";2;4;4;5;3;5;3;5;1;1;1;3;5;5;4;5;2;1;5;1;3;4;1;4;4;4;5;1;1;1;5;5;5;3;2;3;3;3;3;2;2;3;3;3;3;3;3;4;2;3;5;2;4;2;4;3;3;3;3;2;2;4;4;1;4;3;2;2;2;2;2;2;2;2;2;2;2;2;1;4;4;5;4;3;3;3;2;3;1;1;3;2;2;4;1;2;2;2;3;3;4;4;2
"67";597;1;2022-02-14 14:14:09;"R_3R3MFIp97bFxne3";3;2;3;1;2;2;1;3;1;2;1;3;2;1;2;3;1;2;2;2;4;1;2;3;3;2;1;1;2;4;4;4;4;4;5;3;3;3;3;3;2;3;3;3;3;3;2;4;2;2;4;3;3;2;2;3;2;4;3;3;2;1;1;3;3;3;2;4;4;2;4;4;3;2;3;3;1;2;2;2;2;3;2;3;2;2;2;3;1;1;1;2;2;3;2;1;3;1;3;3;2;1;1
"68";676;1;2022-02-14 16:14:21;"R_9MrhqFQGQoJFEGt";3;4;3;3;3;4;3;3;3;3;3;3;2;3;3;2;3;3;2;2;4;2;2;5;3;5;2;1;1;5;5;5;5;3;5;3;3;3;5;5;5;4;4;4;2;2;3;2;3;2;3;4;4;3;3;2;3;2;3;4;3;2;2;3;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;1;2;2;3;3;2;2;1;2;2;2;2;2;2;4;1;3;3;2;2;3;3;2;2
"69";682;1;2022-02-14 16:38:54;"R_24q0KBwngrcIsO6";4;2;1;4;5;1;5;3;4;1;3;4;5;3;4;5;1;1;5;4;2;5;2;1;1;2;3;4;4;4;3;4;4;2;3;4;4;4;1;2;2;2;2;3;1;2;2;4;4;1;5;2;5;2;1;2;4;2;2;3;4;2;2;1;4;2;1;3;4;5;3;5;3;2;3;4;2;1;2;3;4;4;3;1;2;1;1;3;3;2;4;1;1;2;2;1;4;2;5;1;1;1;4
"70";1156;1;2022-02-14 17:28:14;"R_OrhdS9X81XB3dWp";5;4;5;2;4;2;5;2;1;4;2;5;2;2;5;5;1;2;5;1;4;3;1;3;3;5;4;1;1;5;5;4;5;3;5;5;5;4;4;5;5;3;4;3;4;4;4;4;1;4;4;5;3;4;2;5;2;4;4;5;1;1;1;1;3;4;4;3;3;3;2;3;3;3;3;2;1;2;2;1;2;3;3;5;5;5;1;4;1;2;1;5;5;5;1;1;5;1;2;5;1;1;1
"71";1041;1;2022-02-14 18:08:43;"R_1CKrKaOcHYQeG5b";5;2;5;2;4;2;2;4;1;2;2;3;3;2;3;4;1;1;4;2;4;2;1;3;2;3;2;1;2;4;4;4;5;3;2;4;4;4;3;2;2;4;3;4;4;3;3;3;1;4;3;3;3;3;1;3;1;4;4;4;1;1;1;1;3;4;3;3;2;2;2;2;2;2;2;2;1;3;2;1;3;3;3;5;1;2;1;2;1;1;1;3;1;4;2;1;5;1;2;5;1;1;1
"72";767;1;2022-02-15 03:25:45;"R_2vk6BRnmQ8ICTaO";5;4;5;3;2;1;2;5;1;1;2;4;4;2;5;2;1;1;4;3;2;3;2;5;4;4;2;3;4;4;4;4;5;2;5;5;5;5;5;5;5;2;4;4;4;4;5;3;2;4;2;4;1;4;1;4;2;5;4;4;1;2;1;2;1;5;4;1;1;1;1;1;1;1;1;1;5;5;5;1;1;4;5;5;1;5;5;5;1;1;1;5;1;2;1;1;5;1;2;5;3;1;1
"73";1423;1;2022-02-15 07:46:25;"R_2cu20jswoVl5DLB";4;4;5;2;5;4;3;5;2;1;3;5;4;2;5;5;1;1;1;1;5;1;3;3;4;4;1;5;2;4;2;2;5;5;5;4;4;4;4;4;4;4;2;2;2;2;1;2;2;1;3;1;3;1;1;2;3;2;3;1;3;5;3;1;3;2;1;2;1;1;1;1;1;1;1;1;2;2;3;1;2;3;4;4;3;4;2;2;4;2;2;4;4;5;1;1;3;1;1;2;2;1;2
"74";82564;1;2022-02-15 15:05:41;"R_2AM76JZPqjNC0sk";4;2;4;5;5;2;2;4;2;1;2;5;4;5;5;5;1;1;2;4;4;3;2;3;3;2;3;1;5;4;4;4;2;4;5;4;4;4;4;2;3;2;3;3;2;3;3;4;1;2;3;1;3;1;1;3;4;3;2;1;2;2;1;2;4;3;2;2;1;1;1;1;1;1;1;1;2;2;4;1;2;4;3;4;2;3;2;4;2;1;2;2;3;4;2;1;4;3;4;4;1;1;3
"75";3376;1;2022-02-15 16:49:25;"R_1QaojEbafWoFVFc";3;2;4;1;3;2;2;4;1;2;3;2;4;2;4;4;1;2;4;4;4;2;4;3;2;4;1;3;3;3;2;2;4;2;4;3;4;3;4;3;2;2;3;1;2;3;2;3;2;3;3;2;3;2;2;2;3;3;3;2;2;3;2;1;4;3;2;4;1;1;2;2;2;1;3;3;1;2;3;1;2;4;2;4;2;3;2;4;2;1;3;2;2;4;1;1;4;1;2;4;1;1;2
"76";77509;1;2022-02-16 08:15:18;"R_6igQfz5Y7zBkhcR";3;3;4;2;2;5;3;5;2;2;1;4;2;2;3;3;2;2;3;5;5;2;4;5;3;3;2;5;5;3;2;4;3;5;5;4;3;3;4;5;5;2;3;3;4;4;3;4;1;3;3;2;4;1;1;4;2;4;3;2;2;5;2;3;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;1;3;5;3;5;5;3;2;5;1;2;3;2;2;3;1;1;5;3;3;3;1;1;2
"77";886;1;2022-02-16 12:30:25;"R_3q9cDBzCVShme2v";2;2;4;4;3;1;1;2;2;2;2;5;4;2;2;4;1;2;4;4;5;2;3;2;4;2;1;4;5;3;4;4;4;4;5;5;5;5;2;2;2;2;2;3;2;3;2;3;5;3;3;2;3;1;2;2;2;2;3;2;3;3;3;2;2;3;3;4;4;2;2;2;2;1;2;4;5;4;2;1;2;2;5;4;4;5;1;2;2;2;4;3;3;5;1;2;5;2;2;5;1;3;2
"78";5002;1;2022-02-16 14:54:30;"R_1LuLk85eXnmubbp";2;3;2;2;3;2;2;2;1;2;2;2;2;2;2;3;1;2;3;4;5;1;4;2;2;2;1;4;4;4;2;2;3;5;5;2;2;3;2;2;3;2;2;2;2;2;2;3;1;2;4;1;4;1;1;3;3;3;3;1;3;2;2;1;2;3;2;4;3;4;3;4;3;3;3;1;1;4;4;2;2;3;3;3;2;4;2;3;2;2;2;2;1;5;2;1;4;1;2;3;1;1;2
"79";803;1;2022-02-16 16:43:01;"R_1lyDZxageb3jfm0";3;1;2;2;2;1;3;3;1;1;2;3;2;5;5;4;1;1;4;5;5;4;5;2;1;1;5;5;5;2;2;2;2;5;4;3;2;2;2;1;2;1;1;1;1;3;1;5;2;1;5;2;4;1;3;4;4;3;2;2;4;2;4;2;4;2;2;2;4;4;4;4;4;4;4;2;2;2;2;1;2;4;2;3;3;2;2;3;1;2;2;1;2;2;2;1;1;2;3;2;2;1;2
"80";1017;1;2022-02-16 19:00:50;"R_2CJpEIwq5AX8Uf9";4;2;4;2;4;2;4;4;2;1;3;4;4;2;4;4;1;1;3;4;4;4;4;2;2;2;2;3;3;3;2;2;3;4;4;3;4;4;2;2;3;1;1;2;2;3;1;4;1;2;4;1;4;2;4;3;4;2;2;2;4;4;4;1;4;2;2;4;4;2;3;3;2;2;2;3;2;4;2;2;3;4;2;2;2;2;1;1;2;1;2;1;1;1;4;4;2;3;4;1;2;2;4
"81";663;1;2022-02-18 08:30:46;"R_2b18PqBxFaNcTIf";3;5;3;3;3;5;3;3;3;4;2;4;2;4;3;3;4;3;4;4;3;3;4;4;4;3;2;3;2;4;3;2;4;4;2;4;4;4;3;4;3;3;3;2;2;3;2;5;4;2;5;2;4;1;4;3;5;2;2;1;4;4;4;1;5;1;2;5;4;2;5;4;3;3;2;4;4;3;2;5;5;5;2;3;2;1;1;4;4;1;2;1;5;3;4;1;2;4;5;2;4;5;2
"82";340236;1;2022-02-19 09:01:04;"R_3JqhU8gTypMIGtl";5;3;4;4;4;5;2;5;3;2;2;3;3;4;4;4;3;1;2;4;4;2;4;4;4;4;2;4;4;4;3;2;4;4;4;5;4;4;4;4;4;2;2;2;4;4;4;3;2;4;1;4;2;4;1;4;2;4;4;4;1;4;2;3;3;4;4;3;3;2;2;2;2;2;2;2;5;3;3;1;1;3;3;5;2;2;3;3;2;2;2;4;3;5;2;1;1;3;1;4;4;3;1
"83";690;1;2022-02-19 11:17:16;"R_25TreCTxXFhlFAp";4;5;2;5;5;5;2;2;2;1;2;3;2;2;4;3;2;1;3;2;5;4;3;4;2;4;2;3;2;4;4;4;4;4;4;2;2;2;4;4;4;3;3;3;2;4;2;4;1;2;4;1;3;2;2;4;4;4;3;2;3;4;4;4;4;2;2;3;3;3;3;3;3;3;3;3;5;4;2;4;2;5;3;4;2;2;2;4;2;4;2;1;1;4;2;4;4;2;5;2;2;2;4
"84";386;1;2022-02-20 23:36:41;"R_2wvMZf2rA0BYifQ";2;3;2;2;2;3;3;2;2;3;3;3;3;2;2;3;2;3;3;1;4;1;2;4;4;5;1;1;1;3;3;4;3;4;3;3;4;4;5;5;5;3;4;4;3;4;3;3;2;3;4;4;3;1;2;4;2;3;4;4;1;2;1;3;3;4;3;3;2;2;2;3;2;2;2;2;3;2;2;1;1;2;2;4;3;4;3;4;1;2;2;4;4;4;3;3;4;3;4;3;3;2;2
