"";"Duration__in_seconds_";"Finished";"RecordedDate";"ResponseId";"Q6___R_gulation_cogn_1";"Q6___R_gulation_cogn_2";"Q6___R_gulation_cogn_3";"Q6___R_gulation_cogn_4";"Q6___R_gulation_cogn_5";"Q6___R_gulation_cogn_6";"Q6___R_gulation_cogn_7";"Q6___R_gulation_cogn_8";"Q6___R_gulation_cogn_9";"Q6___R_gulation_cogn_10";"Q6___R_gulation_cogn_11";"Q6___R_gulation_cogn_12";"Q6___R_gulation_cogn_13";"Q6___R_gulation_cogn_14";"Q6___R_gulation_cogn_15";"Q6___R_gulation_cogn_16";"Q6___R_gulation_cogn_17";"Q6___R_gulation_cogn_18";"Q7___Alim_intuitive_1";"Q7___Alim_intuitive_2";"Q7___Alim_intuitive_3";"Q7___Alim_intuitive_4";"Q7___Alim_intuitive_5";"Q7___Alim_intuitive_6";"Q7___Alim_intuitive_7";"Q7___Alim_intuitive_8";"Q7___Alim_intuitive_9";"Q7___Alim_intuitive_10";"Q7___Alim_intuitive_11";"Q7___Alim_intuitive_12";"Q7___Alim_intuitive_13";"Q7___Alim_intuitive_14";"Q7___Alim_intuitive_15";"Q7___Alim_intuitive_16";"Q7___Alim_intuitive_17";"Q7___Alim_intuitive_18";"Q7___Alim_intuitive_19";"Q7___Alim_intuitive_20";"Q7___Alim_intuitive_21";"Q7___Alim_intuitive_22";"Q7___Alim_intuitive_23";"Q9___Alim__motionnel";"Q10___Alim__motionne";"Q11___Alim__motionne";"Q12___Estime_corpore_1";"Q12___Estime_corpore_2";"Q12___Estime_corpore_3";"Q12___Estime_corpore_4";"Q12___Estime_corpore_5";"Q12___Estime_corpore_6";"Q12___Estime_corpore_7";"Q12___Estime_corpore_8";"Q12___Estime_corpore_9";"Q12___Estime_corpore_10";"Q12___Estime_corpore_11";"Q12___Estime_corpore_12";"Q12___Estime_corpore_13";"Q12___Estime_corpore_14";"Q12___Estime_corpore_15";"Q12___Estime_corpore_16";"Q12___Estime_corpore_17";"Q12___Estime_corpore_18";"Q12___Estime_corpore_19";"Q12___Estime_corpore_20";"Q12___Estime_corpore_21";"Q12___Estime_corpore_22";"Q12___Estime_corpore_23";"Q13___Internalisatio_1";"Q13___Internalisatio_2";"Q13___Internalisatio_3";"Q13___Internalisatio_4";"Q13___Internalisatio_5";"Q13___Internalisatio_6";"Q13___Internalisatio_7";"Q13___Internalisatio_8";"Q13___Internalisatio_9";"Q14___QSREIC_1";"Q14___QSREIC_2";"Q14___QSREIC_3";"Q14___QSREIC_4";"Q14___QSREIC_5";"Q14___QSREIC_6";"Q14___QSREIC_7";"Q14___QSREIC_8";"Q14___QSREIC_9";"Q14___QSREIC_10";"Q14___QSREIC_11";"Q14___QSREIC_12";"Q14___QSREIC_13";"Q14___QSREIC_14";"Q14___QSREIC_15";"Q14___QSREIC_16";"Q14___QSREIC_17";"Q14___QSREIC_18";"Q14___QSREIC_19";"Q14___QSREIC_20";"Q14___QSREIC_21";"Q14___QSREIC_22";"Q14___QSREIC_23";"Q14___QSREIC_24";"Q14___QSREIC_25";"Q14___QSREIC_26";"Q14___QSREIC_27"
"11";952;1;2022-02-09 12:06:48;"R_3fkKeyxlJH27xhU";2;3;2;4;3;3;2;2;3;2;2;3;2;3;3;2;2;2;4;3;5;3;4;4;4;3;2;3;2;4;2;2;4;4;5;4;4;4;3;4;4;3;3;2;3;3;2;4;2;3;4;2;3;2;1;3;3;3;3;4;2;4;4;4;4;3;3;4;4;3;4;4;3;3;3;4;2;2;2;2;3;5;3;3;3;2;2;3;2;2;2;2;2;3;2;2;3;2;4;2;1;4;4
"12";1468;1;2022-02-09 13:25:23;"R_snzBJh3PwUncwP7";4;2;4;2;4;2;4;4;2;2;4;2;4;2;3;4;2;2;4;1;5;1;1;5;4;5;1;1;1;5;5;5;5;5;5;4;5;5;5;5;5;4;4;4;4;3;3;2;1;3;2;4;3;3;1;4;2;5;4;5;1;1;1;1;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;4;5;3;5;1;1;1;1;1;4;4;4;1;1;4;1;2;5;1;1;1
"13";789;1;2022-02-09 13:26:04;"R_1i27QIbGFriKGUF";4;3;5;4;5;2;1;4;2;2;1;4;4;3;5;4;2;1;2;5;5;2;5;2;2;2;1;5;5;4;2;2;4;2;5;4;4;4;2;1;1;2;2;2;2;2;3;2;1;3;3;3;5;2;4;3;3;4;3;3;1;3;1;1;3;3;2;5;5;5;5;5;5;5;5;2;2;3;3;1;3;4;2;4;2;1;3;4;2;1;1;2;2;3;2;1;3;3;2;3;2;1;2
"14";1677;1;2022-02-09 13:29:28;"R_AyZtYhlq7e3eKgp";2;4;2;2;3;3;4;2;2;2;2;5;4;2;5;3;1;1;3;5;5;4;5;1;2;1;2;5;5;1;1;1;2;5;2;4;4;4;1;1;1;1;1;1;1;3;1;5;2;2;5;2;4;1;3;3;4;3;3;1;4;5;5;3;5;2;3;2;2;1;3;2;3;2;3;2;2;3;3;2;5;4;4;4;2;2;1;2;5;4;5;1;2;2;2;1;4;4;5;2;3;3;5
"15";978;1;2022-02-09 13:39:22;"R_1LoFEIS86lpia2a";5;4;4;1;4;3;2;2;1;1;2;2;3;1;3;1;1;1;2;1;5;2;1;5;4;4;1;1;1;5;5;5;1;4;5;4;5;5;5;5;5;4;4;4;4;3;4;2;1;4;3;4;3;4;3;4;2;3;3;4;2;1;1;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;4;1;2;2;3;5;1;4;4;4;1;3;2;4;1;4;1;1;5;1;2;4;2;1;1
"16";654;1;2022-02-09 13:55:14;"R_2QFgHkaggnza7Qb";4;5;5;2;3;3;2;2;2;1;2;2;2;2;3;4;2;1;1;2;4;2;1;4;3;4;2;2;1;5;5;5;5;4;4;5;5;5;5;5;5;3;3;3;3;4;2;2;1;3;4;4;3;4;2;4;3;4;3;4;2;3;1;1;3;3;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;3;5;4;3;1;4;2;2;2;2;2;2;1;1;4;2;2;5;5;2;2
"17";1455;1;2022-02-09 14:04:36;"R_5bZWcdvysgz3oFb";5;5;5;3;3;5;4;5;1;1;3;5;4;4;5;4;3;1;4;1;5;3;1;5;4;3;3;1;1;5;5;5;5;3;5;5;4;4;5;1;2;4;4;3;4;4;4;4;3;4;2;3;2;3;3;4;1;5;4;3;1;1;1;4;5;4;4;4;4;4;4;4;4;4;3;3;1;5;5;1;4;2;4;5;4;4;3;4;1;1;2;4;4;3;3;1;2;2;3;1;1;1;1
"18";616;1;2022-02-09 14:22:01;"R_31AbNiNaq0WOFxq";3;2;3;3;3;2;1;1;2;2;1;1;2;1;1;4;1;2;4;2;3;1;4;1;3;3;2;3;3;4;3;2;2;4;4;4;4;4;3;4;3;2;3;2;4;4;2;2;1;3;2;3;1;3;1;1;2;5;4;2;1;3;2;1;3;3;3;3;1;1;1;1;2;1;1;1;1;5;3;1;1;3;4;5;3;3;4;2;1;1;2;3;3;3;1;1;1;2;1;1;1;2;1
"19";773;1;2022-02-09 14:36:01;"R_22Zo5OUCfAJr6lb";3;3;4;2;3;3;2;4;3;2;2;4;3;2;4;4;1;2;5;4;2;4;4;3;2;2;5;4;4;2;3;3;4;2;2;4;4;4;3;4;4;2;2;2;3;4;2;5;1;3;4;2;4;2;3;3;3;4;3;2;3;3;4;1;5;3;2;4;4;4;4;4;4;4;4;4;4;3;2;4;4;4;4;3;2;2;1;4;3;1;1;2;2;2;4;3;4;4;3;2;3;4;2
"20";1865;1;2022-02-09 14:55:56;"R_22xID321eeHeeke";2;3;3;4;2;3;2;2;1;1;2;4;2;4;3;4;1;1;3;2;4;3;2;3;3;4;4;2;2;5;5;5;4;4;3;4;4;4;3;4;4;4;4;4;2;4;3;4;2;3;1;3;2;3;1;4;3;4;4;4;2;3;3;3;4;3;3;2;1;3;2;3;2;3;2;1;2;3;2;1;2;4;4;2;5;2;1;4;2;1;1;2;3;5;1;1;3;3;1;2;4;2;1
"21";1613;1;2022-02-09 15:04:39;"R_1rjdSY0GFXD5ebN";3;2;2;1;4;2;2;2;2;1;2;2;2;1;1;4;2;1;4;4;4;2;2;3;2;4;4;3;4;3;4;4;5;3;2;4;4;4;4;4;4;2;2;3;4;4;4;3;1;4;3;3;3;3;1;4;3;4;4;3;1;3;2;4;4;3;4;2;1;1;2;2;1;1;2;2;1;2;4;1;2;1;5;5;1;1;4;2;1;4;2;4;2;5;1;1;4;1;1;4;2;2;1
"22";2075;1;2022-02-09 15:06:51;"R_V2SWYURdiWjDR7P";3;4;3;4;2;4;3;2;4;2;2;2;2;4;3;2;4;2;2;4;5;2;4;5;5;5;1;5;5;1;1;1;1;5;5;3;3;3;2;2;4;2;2;2;2;3;2;5;2;2;4;1;4;1;4;3;4;2;2;1;4;5;5;1;5;2;1;4;4;3;3;4;3;2;3;3;5;2;2;3;4;3;4;3;2;2;1;1;2;4;4;1;4;2;3;2;2;4;5;1;2;4;5
"23";720;1;2022-02-09 15:09:33;"R_3FKzZUAALhCb70R";4;4;4;2;3;2;3;4;2;1;2;3;3;1;3;4;2;1;3;2;5;1;1;5;5;4;1;2;3;4;4;5;5;4;5;5;4;4;5;4;3;3;3;3;4;4;4;3;4;4;2;3;1;3;1;4;1;5;5;4;1;2;1;4;1;5;4;3;3;2;4;3;4;3;3;2;1;5;4;1;2;4;4;5;4;3;2;4;1;3;2;4;5;4;1;1;5;1;2;5;2;2;1
"24";999;1;2022-02-09 15:32:07;"R_xEgp10GIhpmgMvL";2;1;3;2;2;2;3;2;1;1;3;4;3;4;3;5;1;1;5;2;4;1;2;4;4;2;5;2;2;5;4;4;4;2;1;2;2;2;2;4;4;2;4;4;1;4;2;5;1;3;5;1;4;1;3;3;3;4;3;1;1;5;3;1;3;1;2;2;2;2;2;2;2;2;2;2;2;3;4;1;2;5;4;5;4;3;3;5;4;1;2;2;3;4;1;1;2;1;5;2;3;1;2
"25";712;1;2022-02-09 15:39:21;"R_2bV2APwmmMX7faM";4;2;3;1;4;2;2;2;1;2;2;2;2;2;2;4;1;2;5;1;2;1;1;3;3;2;5;1;1;5;5;5;5;2;4;5;5;5;3;3;3;4;4;4;4;3;3;4;1;3;2;2;3;2;1;3;3;4;3;4;1;1;1;2;3;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;4;1;5;2;2;2;2;2;2;2;4;1;1;1;1;2;1;1;1;1
"26";1370;1;2022-02-09 16:22:45;"R_sYgmmKTeyBq7jsl";2;3;4;5;2;4;2;4;5;2;2;2;2;4;2;2;2;1;4;5;5;3;5;4;4;4;2;4;5;2;2;4;3;4;4;5;3;3;4;4;4;1;2;2;2;2;2;2;1;2;4;1;4;1;5;2;3;2;2;1;3;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;4;3;1;2;4;3;3;4;2;1;2;3;2;4;1;2;4;5;2;2;2;4;2;2;1;4
"27";847;1;2022-02-09 16:39:44;"R_3njFtpowJ9NXESL";3;3;4;2;2;1;3;4;2;1;5;5;3;2;4;4;1;1;5;3;4;3;2;3;3;4;4;3;3;4;5;5;5;4;5;4;5;5;5;4;3;3;3;3;3;5;2;4;1;3;3;2;4;2;1;4;3;3;2;2;3;3;2;1;3;3;3;3;1;1;2;1;3;1;2;2;2;3;3;1;3;4;5;5;2;3;2;4;2;2;2;2;4;4;1;2;2;3;3;2;2;2;2
"28";970;1;2022-02-09 16:41:53;"R_269maf7IDLTxqvX";4;3;4;2;4;2;4;4;2;2;4;4;3;1;2;5;2;2;3;2;4;3;2;3;2;2;5;3;2;4;4;4;5;3;3;5;5;5;3;2;2;4;2;3;2;3;2;5;3;2;4;2;4;1;2;2;4;3;2;2;2;3;3;1;4;3;2;1;1;1;1;1;1;1;1;1;1;3;5;2;2;4;5;4;2;3;2;4;2;1;3;3;3;4;1;1;4;2;5;3;3;3;1
"29";764;1;2022-02-09 17:24:30;"R_300GJDNUlfEmLMa";2;4;4;2;2;5;2;2;2;1;1;2;1;2;2;2;2;1;1;5;4;3;4;2;3;2;1;5;5;2;3;2;4;4;4;3;3;3;4;3;3;1;2;2;2;2;1;4;3;2;5;3;2;3;1;3;4;1;3;1;3;4;4;1;3;3;1;3;1;3;1;2;2;2;3;1;1;1;1;2;1;2;4;2;1;2;1;4;2;4;1;2;1;4;1;4;4;2;2;2;1;1;1
"30";967;1;2022-02-09 17:25:45;"R_28NBEnEvblZnwi2";2;3;2;3;4;3;2;2;3;2;2;3;2;2;3;4;2;2;3;4;4;3;4;3;3;2;2;4;4;2;2;2;2;4;2;3;3;4;3;4;2;1;1;2;2;3;2;4;3;2;4;2;3;2;3;3;4;3;3;2;3;3;3;2;4;2;2;3;2;1;1;1;2;1;1;1;2;2;2;1;2;4;3;3;2;2;2;2;4;2;3;1;4;2;2;2;3;2;3;2;2;2;4
"31";860;1;2022-02-09 17:27:27;"R_2EgFLEXTh6mXrMH";1;3;5;4;3;2;2;4;3;1;2;3;2;3;3;2;2;1;4;4;2;4;4;2;2;4;4;3;4;3;2;2;4;2;2;4;4;4;3;4;4;2;2;2;3;2;2;4;4;2;3;2;3;2;3;3;3;3;3;3;2;2;3;1;3;3;3;2;2;2;2;2;2;2;2;2;1;3;3;1;1;3;3;4;2;2;2;3;1;1;1;2;2;2;1;2;2;2;2;3;3;1;3
"32";1793;1;2022-02-09 18:19:26;"R_Ov34vxnA2MpINB7";3;2;2;4;3;2;2;2;3;2;1;2;2;3;2;2;4;4;4;5;3;2;4;3;3;2;2;4;5;1;3;2;4;4;5;3;4;4;4;3;2;2;2;2;2;3;2;4;1;2;5;1;4;1;3;2;4;3;2;2;4;4;5;2;5;2;2;4;2;4;2;3;2;4;2;2;2;2;1;3;2;5;3;2;3;3;2;2;4;3;2;1;4;2;2;2;3;3;4;3;1;2;1
"33";838;1;2022-02-09 18:35:54;"R_3fqrg2soQTOs5Cn";4;2;2;2;3;4;2;3;2;2;2;3;2;2;3;2;1;2;2;3;4;2;4;4;3;4;3;1;1;4;4;2;5;4;1;4;3;3;4;4;4;4;3;2;3;3;3;3;1;3;2;3;4;3;1;4;2;4;4;3;2;3;3;3;3;4;3;4;4;1;2;4;3;1;2;3;1;4;2;1;2;4;4;4;1;2;2;4;1;1;1;3;1;4;1;2;2;1;2;4;2;1;1
"34";707;1;2022-02-09 19:53:22;"R_3CVCsbF8MToZ0Uk";4;4;4;4;4;4;3;5;2;1;3;5;2;1;4;4;1;1;4;4;4;2;2;4;2;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;3;4;2;3;4;3;4;3;2;4;3;3;3;2;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;4;3;3;3;4;3;4;3;4;1;2;1;2;1;2;2;4;2;1;3;2;3;3;2;1;1
