"";"Duration__in_seconds_";"Finished";"RecordedDate";"ResponseId";"Q6___R_gulation_cogn_1";"Q6___R_gulation_cogn_2";"Q6___R_gulation_cogn_3";"Q6___R_gulation_cogn_4";"Q6___R_gulation_cogn_5";"Q6___R_gulation_cogn_6";"Q6___R_gulation_cogn_7";"Q6___R_gulation_cogn_8";"Q6___R_gulation_cogn_9";"Q6___R_gulation_cogn_10";"Q6___R_gulation_cogn_11";"Q6___R_gulation_cogn_12";"Q6___R_gulation_cogn_13";"Q6___R_gulation_cogn_14";"Q6___R_gulation_cogn_15";"Q6___R_gulation_cogn_16";"Q6___R_gulation_cogn_17";"Q6___R_gulation_cogn_18";"Q7___Alim_intuitive_1";"Q7___Alim_intuitive_2";"Q7___Alim_intuitive_3";"Q7___Alim_intuitive_4";"Q7___Alim_intuitive_5";"Q7___Alim_intuitive_6";"Q7___Alim_intuitive_7";"Q7___Alim_intuitive_8";"Q7___Alim_intuitive_9";"Q7___Alim_intuitive_10";"Q7___Alim_intuitive_11";"Q7___Alim_intuitive_12";"Q7___Alim_intuitive_13";"Q7___Alim_intuitive_14";"Q7___Alim_intuitive_15";"Q7___Alim_intuitive_16";"Q7___Alim_intuitive_17";"Q7___Alim_intuitive_18";"Q7___Alim_intuitive_19";"Q7___Alim_intuitive_20";"Q7___Alim_intuitive_21";"Q7___Alim_intuitive_22";"Q7___Alim_intuitive_23";"Q9_Alim_emotionnel";"Q10_Alim_emotionnel";"Q11_Alim_emotionnel";"Q12___Estime_corpore_1";"Q12___Estime_corpore_2";"Q12___Estime_corpore_3";"Q12___Estime_corpore_4";"Q12___Estime_corpore_5";"Q12___Estime_corpore_6";"Q12___Estime_corpore_7";"Q12___Estime_corpore_8";"Q12___Estime_corpore_9";"Q12___Estime_corpore_10";"Q12___Estime_corpore_11";"Q12___Estime_corpore_12";"Q12___Estime_corpore_13";"Q12___Estime_corpore_14";"Q12___Estime_corpore_15";"Q12___Estime_corpore_16";"Q12___Estime_corpore_17";"Q12___Estime_corpore_18";"Q12___Estime_corpore_19";"Q12___Estime_corpore_20";"Q12___Estime_corpore_21";"Q12___Estime_corpore_22";"Q12___Estime_corpore_23";"Q13___Internalisatio_1";"Q13___Internalisatio_2";"Q13___Internalisatio_3";"Q13___Internalisatio_4";"Q13___Internalisatio_5";"Q13___Internalisatio_6";"Q13___Internalisatio_7";"Q13___Internalisatio_8";"Q13___Internalisatio_9";"Q14___QSREIC_1";"Q14___QSREIC_2";"Q14___QSREIC_3";"Q14___QSREIC_4";"Q14___QSREIC_5";"Q14___QSREIC_6";"Q14___QSREIC_7";"Q14___QSREIC_8";"Q14___QSREIC_9";"Q14___QSREIC_10";"Q14___QSREIC_11";"Q14___QSREIC_12";"Q14___QSREIC_13";"Q14___QSREIC_14";"Q14___QSREIC_15";"Q14___QSREIC_16";"Q14___QSREIC_17";"Q14___QSREIC_18";"Q14___QSREIC_19";"Q14___QSREIC_20";"Q14___QSREIC_21";"Q14___QSREIC_22";"Q14___QSREIC_23";"Q14___QSREIC_24";"Q14___QSREIC_25";"Q14___QSREIC_26";"Q14___QSREIC_27";"CERQ_ACC";"CERQ_RUM";"CERQ_REA";"CERQ_CUL";"CERQ_REC";"CERQ_DRA";"CERQ_BLA";"CERQ_PLA";"CERQ_PERS";"CERQ_MAL";"CERQ_ADA";"AI_UPE";"AI_EPPR";"AI_RHSC";"AI_BFC";"AI_total";"BE_APP";"BE_ATT";"BE_Poids";"BE_total";"EE";"Interna";"QSREIC_dramatisation";"QSREIC_planif";"QSREIC_recentrage";"QSREIC_social";"QSREIC_culpa";"QSREIC_refus";"QSREIC_rumination";"QSREIC_physique";"QSREIC_évitement";"QSREIC_ADA";"QSREIC_MAL"
"11";952;1;2022-02-09 12:06:48;"R_3fkKeyxlJH27xhU";2;3;2;4;3;3;2;2;3;2;2;3;2;3;3;2;2;2;2;3;5;3;2;4;4;3;4;3;4;4;2;2;4;4;5;4;4;4;3;4;4;3;3;2;3;3;2;2;2;3;2;2;3;2;5;3;3;3;3;4;4;2;2;4;2;3;3;4;4;3;4;4;3;3;3;4;2;2;2;2;3;5;3;3;3;2;2;3;2;2;2;2;2;3;4;2;3;2;4;2;1;2;4;5;6;4;7;4;5;4;6;4;22;23;23;24;22;12;81;31;15;19;65;8;32;9;8;8;12;7;9;2;6;8;37;32
"12";1468;1;2022-02-09 13:25:23;"R_snzBJh3PwUncwP7";4;2;4;2;4;2;4;4;2;2;4;2;4;2;3;4;2;2;2;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;4;4;4;3;3;4;1;3;4;4;3;3;5;4;4;5;4;5;5;5;5;1;5;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;5;3;5;1;1;1;1;1;4;4;4;5;1;4;1;2;5;1;5;1;8;4;8;4;8;4;4;5;8;16;37;27;40;29;14;110;41;14;33;88;12;9;9;4;9;19;5;18;1;3;3;50;21
"13";789;1;2022-02-09 13:26:04;"R_1i27QIbGFriKGUF";4;3;5;4;5;2;1;4;2;2;1;4;4;3;5;4;2;1;4;1;5;4;1;2;2;2;5;1;1;4;2;2;4;2;5;4;4;4;2;1;1;2;2;2;2;2;3;4;1;3;3;3;1;2;2;3;3;4;3;3;5;3;5;1;3;3;2;5;5;5;5;5;5;5;5;2;2;3;3;1;3;4;2;4;2;1;3;4;2;1;1;2;2;3;4;1;3;3;2;3;2;5;2;9;5;9;7;2;4;3;9;8;19;37;25;16;10;12;63;27;11;26;64;6;42;7;12;8;16;6;9;3;3;4;45;23
"14";1677;1;2022-02-09 13:29:28;"R_AyZtYhlq7e3eKgp";2;4;2;2;3;3;4;2;2;2;2;5;4;2;5;3;1;1;3;1;5;2;1;1;2;1;4;1;1;1;1;1;2;5;2;4;4;4;1;1;1;1;1;1;1;3;1;1;2;2;1;2;2;1;3;3;2;3;3;1;2;1;1;3;1;2;3;2;2;1;3;2;3;2;3;2;2;3;3;2;1;4;4;4;2;2;1;2;5;4;5;1;2;2;4;1;4;4;5;2;3;3;5;5;7;4;4;6;3;3;10;7;17;32;21;9;7;12;49;20;14;10;44;3;20;10;9;9;12;9;9;4;7;11;39;41
"15";978;1;2022-02-09 13:39:22;"R_1LoFEIS86lpia2a";5;4;4;1;4;3;2;2;1;1;2;2;3;1;3;1;1;1;4;5;5;4;5;5;4;4;5;5;5;5;5;5;1;4;5;4;5;5;5;5;5;4;4;4;4;3;4;4;1;4;3;4;3;4;3;4;4;3;3;4;4;5;5;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;4;1;4;2;3;5;1;4;4;4;1;3;2;4;1;4;5;1;5;1;2;4;2;5;1;9;7;6;2;4;2;2;5;4;13;28;27;36;28;14;105;34;14;33;81;12;9;6;11;11;19;3;17;1;3;4;58;17
"16";654;1;2022-02-09 13:55:14;"R_2QFgHkaggnza7Qb";4;5;5;2;3;3;2;2;2;1;2;2;2;2;3;4;2;1;5;4;4;4;5;4;3;4;4;4;5;5;5;5;5;4;4;5;5;5;5;5;5;3;3;3;3;4;2;4;1;3;2;4;3;4;4;4;3;4;3;4;4;3;5;1;3;3;2;2;2;2;2;2;1;1;1;1;1;2;2;2;4;2;3;5;4;3;1;4;2;2;2;2;2;2;5;1;4;2;2;5;5;4;2;7;8;7;4;4;4;2;5;6;18;29;25;38;26;15;104;30;14;29;73;9;14;9;12;7;18;4;14;2;4;5;51;24
"17";1455;1;2022-02-09 14:04:36;"R_5bZWcdvysgz3oFb";5;5;5;3;3;5;4;5;1;1;3;5;4;4;5;4;3;1;2;5;5;3;5;5;4;3;3;5;5;5;5;5;5;3;5;5;4;4;5;1;2;4;4;3;4;4;4;2;3;4;4;3;4;3;3;4;5;5;4;3;5;5;5;4;1;4;4;4;4;4;4;4;4;4;3;3;1;5;5;1;2;2;4;5;4;4;3;4;1;1;2;4;4;3;3;1;2;2;3;1;1;5;1;8;10;10;7;7;4;2;10;8;23;43;21;40;20;13;94;38;20;29;87;11;34;10;13;12;15;3;11;2;4;4;51;23
"18";616;1;2022-02-09 14:22:01;"R_31AbNiNaq0WOFxq";3;2;3;3;3;2;1;1;2;2;1;1;2;1;1;4;1;2;2;4;3;5;2;1;3;3;4;3;3;4;3;2;2;4;4;4;4;4;3;4;3;2;3;2;4;4;2;4;1;3;4;3;5;3;5;1;4;5;4;2;5;3;4;1;3;3;3;3;1;1;1;1;2;1;1;1;1;5;3;1;5;3;4;5;3;3;4;2;1;1;2;3;3;3;5;1;1;2;1;1;1;4;1;6;4;4;4;2;3;4;2;6;15;20;22;23;17;12;74;40;12;24;76;7;12;8;12;10;19;4;8;2;2;4;49;20
"19";773;1;2022-02-09 14:36:01;"R_22Zo5OUCfAJr6lb";3;3;4;2;3;3;2;4;3;2;2;4;3;2;4;4;1;2;1;2;2;2;2;3;2;2;1;2;2;2;3;3;4;2;2;4;4;4;3;4;4;2;2;2;3;4;2;1;1;3;2;2;2;2;3;3;3;4;3;2;3;3;2;1;1;3;2;4;4;4;4;4;4;4;4;4;4;3;2;4;2;4;4;3;2;2;1;4;3;1;1;2;2;2;2;3;4;4;3;2;3;2;2;6;6;8;4;4;4;4;8;7;18;33;10;20;18;12;60;25;13;17;55;6;36;9;11;8;9;7;10;4;7;6;38;33
"20";1865;1;2022-02-09 14:55:56;"R_22xID321eeHeeke";2;3;3;4;2;3;2;2;1;1;2;4;2;4;3;4;1;1;3;4;4;3;4;3;3;4;2;4;4;5;5;5;4;4;3;4;4;4;3;4;4;4;4;4;2;4;3;2;2;3;5;3;4;3;5;4;3;4;4;4;4;3;3;3;2;3;3;2;1;3;2;3;2;3;2;1;2;3;2;1;4;4;4;2;5;2;1;4;2;1;1;2;3;5;5;1;3;3;1;2;4;4;1;4;6;5;8;4;2;2;7;6;18;26;19;35;21;12;87;35;17;24;76;12;19;11;12;11;15;6;9;3;2;3;47;25
